Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2004,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,20.0
2005,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,18.5
2006,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,35.2
2007,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,44.2
2008,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,45.9
2009,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,47.3
2010,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,44.3
2011,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,41.6
2012,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,40.4
2013,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,40.0
2014,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,41.8
2015,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,41.3
2016,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,46.0
2017,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,49.0
2018,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,50.2
2019,4.1.1.2 Completion rate Grade 9,,Female,,Percent,,49.5
2004,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,37.3
2005,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,33.8
2006,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,70.1
2007,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,79.8
2008,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,73.1
2009,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,64.8
2010,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,55.9
2011,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,50.3
2012,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,50.9
2013,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,50.0
2014,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,49.7
2015,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,44.7
2016,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,46.4
2017,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,47.8
2018,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,48.3
2019,4.1.1.2 Completion rate Grade 9,,Female,Urban,Percent,,48.2
2004,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,15.6
2005,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,15.2
2006,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,29.5
2007,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,38.4
2008,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,41.5
2009,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,43.7
2010,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,41.4
2011,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,39.5
2012,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,37.7
2013,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,37.6
2014,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,39.8
2015,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,40.4
2016,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,45.9
2017,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,49.3
2018,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,50.7
2019,4.1.1.2 Completion rate Grade 9,,Female,Rural,Percent,,49.9
2004,4.1.1.2 Completion rate Grade 9,,Female,Remote Area,Percent,,14.9
2005,4.1.1.2 Completion rate Grade 9,,Female,Remote Area,Percent,,10.6
2006,4.1.1.2 Completion rate Grade 9,,Female,Remote Area,Percent,,11.8
2007,4.1.1.2 Completion rate Grade 9,,Female,Remote Area,Percent,,16.8
2008,4.1.1.2 Completion rate Grade 9,,Female,Remote Area,Percent,,20.2
2005,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,20.0
2006,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,48.8
2007,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,52.9
2008,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,52.1
2009,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,50.0
2010,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,44.6
2011,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,42.6
2012,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,42.2
2013,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,38.2
2014,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,38.9
2015,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,37.3
2016,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,39.4
2017,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,40.4
2018,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,40.7
2019,4.1.1.2 Completion rate Grade 9,,Male,,Percent,,39.7
2005,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,33.4
2006,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,81.4
2007,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,86.6
2008,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,85.1
2009,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,71.5
2010,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,66.0
2011,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,54.8
2012,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,52.1
2013,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,49.5
2014,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,49.5
2015,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,44.4
2016,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,43.7
2017,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,43.4
2018,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,43.3
2019,4.1.1.2 Completion rate Grade 9,,Male,Urban,Percent,,43.8
2005,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,17.1
2006,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,43.2
2007,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,47.4
2008,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,47.1
2009,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,45.7
2010,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,40.2
2011,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,39.8
2012,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,37.8
2013,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,35.6
2014,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,36.3
2015,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,35.6
2016,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,38.3
2017,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,39.6
2018,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,40.0
2019,4.1.1.2 Completion rate Grade 9,,Male,Rural,Percent,,38.7
2005,4.1.1.2 Completion rate Grade 9,,Male,Remote Area,Percent,,13.7
2006,4.1.1.2 Completion rate Grade 9,,Male,Remote Area,Percent,,16.1
2007,4.1.1.2 Completion rate Grade 9,,Male,Remote Area,Percent,,19.6
2008,4.1.1.2 Completion rate Grade 9,,Male,Remote Area,Percent,,24.0
2004,4.1.1.2 Completion rate Grade 9,,,,Percent,,20.6
2005,4.1.1.2 Completion rate Grade 9,,,,Percent,,19.3
2006,4.1.1.2 Completion rate Grade 9,,,,Percent,,41.9
2007,4.1.1.2 Completion rate Grade 9,,,,Percent,,48.7
2008,4.1.1.2 Completion rate Grade 9,,,,Percent,,49.0
2009,4.1.1.2 Completion rate Grade 9,,,,Percent,,48.7
2010,4.1.1.2 Completion rate Grade 9,,,,Percent,,44.4
